time,joint,position,velocity,effort
1744275117.1621678,gripper,-0.006125696897506714,0.0,0.0
1744275117.1621678,joint1,-0.8130098581314087,0.0,0.0
1744275117.1621678,joint2,0.5092816352844238,0.0,-0.598525
1744275117.1621678,joint3,1.1550875902175903,0.0,-0.32559759674072264
1744275117.1621678,joint4,-0.010737866163253784,-0.023980824276804924,0.0
1744275117.1621678,joint5,1.2655341625213623,0.0,-0.014364599456787109
1744275117.1621678,joint6,0.06596117466688156,0.0,0.0
1744275117.1781373,gripper,-0.006125696897506714,0.0,0.0
1744275117.1781373,joint1,-0.8130098581314087,0.0,0.0
1744275117.1781373,joint2,0.5092816352844238,0.0,-0.6081014086914062
1744275117.1781373,joint3,1.1550875902175903,0.0,-0.3303858010864258
1744275117.1781373,joint4,-0.010737866163253784,-0.023980824276804924,0.0
1744275117.1781373,joint5,1.2655341625213623,0.0,-0.019152800407409666
1744275117.1781373,joint6,0.06749515980482101,0.0,0.0
1744275117.194173,gripper,-0.006125696897506714,0.0,0.0
1744275117.194173,joint1,-0.8130098581314087,0.0,0.0
1744275117.194173,joint2,0.5092816352844238,0.0,-0.598525
1744275117.194173,joint3,1.1550875902175903,0.0,-0.32559759674072264
1744275117.194173,joint4,-0.00920388475060463,0.0,0.0
1744275117.194173,joint5,1.2655341625213623,0.0,-0.019152800407409666
1744275117.194173,joint6,0.06749515980482101,0.0,0.0
1744275117.210196,gripper,-0.006125696897506714,0.0,0.0
1744275117.210196,joint1,-0.8114758729934692,0.0,0.0
1744275117.210196,joint2,0.5092816352844238,0.0,-0.6033132043457031
1744275117.210196,joint3,1.1550875902175903,0.0,-0.32080941955566405
1744275117.210196,joint4,-0.00920388475060463,0.0,0.0
1744275117.210196,joint5,1.2655341625213623,0.0,-0.014364599456787109
1744275117.210196,joint6,0.06749515980482101,0.0,0.0
1744275117.226296,gripper,-0.006125696897506714,0.0,0.0
1744275117.226296,joint1,-0.8130098581314087,0.0,0.0
1744275117.226296,joint2,0.5092816352844238,0.0,-0.6081014086914062
1744275117.226296,joint3,1.1550875902175903,0.0,-0.32080941955566405
1744275117.226296,joint4,-0.00920388475060463,0.0,0.0
1744275117.226296,joint5,1.2655341625213623,0.0,-0.019152800407409666
1744275117.226296,joint6,0.06749515980482101,0.0,0.0
1744275117.242296,gripper,-0.006125696897506714,0.0,0.0
1744275117.242296,joint1,-0.8130098581314087,0.0,0.0
1744275117.242296,joint2,0.5092816352844238,0.0,-0.6033132043457031
1744275117.242296,joint3,1.1550875902175903,0.0,-0.3303858010864258
1744275117.242296,joint4,-0.010737866163253784,0.0,0.0
1744275117.242296,joint5,1.2655341625213623,0.0,-0.009576400203704833
1744275117.242296,joint6,0.06749515980482101,0.0,0.0
1744275117.2581797,gripper,-0.006125696897506714,0.0,0.0
1744275117.2581797,joint1,-0.8130098581314087,0.0,0.0
1744275117.2581797,joint2,0.5092816352844238,0.0,-0.598525
1744275117.2581797,joint3,1.1550875902175903,0.0,-0.32559759674072264
1744275117.2581797,joint4,-0.010737866163253784,0.0,0.0
1744275117.2581797,joint5,1.2655341625213623,0.0,-0.009576400203704833
1744275117.2581797,joint6,0.06749515980482101,0.0,0.0
1744275117.2742538,gripper,-0.006125696897506714,0.0,0.0
1744275117.2742538,joint1,-0.8130098581314087,0.0,0.0
1744275117.2742538,joint2,0.5092816352844238,0.0,-0.6033132043457031
1744275117.2742538,joint3,1.1550875902175903,0.0,-0.3303858010864258
1744275117.2742538,joint4,-0.012271846644580364,-0.023980824276804924,0.0
1744275117.2742538,joint5,1.2655341625213623,0.0,-0.014364599456787109
1744275117.2742538,joint6,0.06902913749217987,0.0,0.0
1744275117.290176,gripper,-0.006125696897506714,0.0,0.0
1744275117.290176,joint1,-0.8130098581314087,0.0,0.0
1744275117.290176,joint2,0.5092816352844238,0.0,-0.6081014086914062
1744275117.290176,joint3,1.1550875902175903,0.0,-0.3303858010864258
1744275117.290176,joint4,-0.012271846644580364,-0.023980824276804924,0.0
1744275117.290176,joint5,1.2655341625213623,0.0,-0.014364599456787109
1744275117.290176,joint6,0.06749515980482101,0.0,0.0
1744275117.3062234,gripper,-0.006125696897506714,0.0,0.0
1744275117.3062234,joint1,-0.8130098581314087,0.0,0.0
1744275117.3062234,joint2,0.5092816352844238,0.0,-0.6081014086914062
1744275117.3062234,joint3,1.1550875902175903,0.0,-0.32559759674072264
1744275117.3062234,joint4,-0.012271846644580364,-0.023980824276804924,0.0
1744275117.3062234,joint5,1.2655341625213623,0.0,-0.014364599456787109
1744275117.3062234,joint6,0.06749515980482101,0.0,0.0
1744275117.322281,gripper,-0.006115470329920451,0.0,0.0
1744275117.322281,joint1,-0.8130098581314087,0.0,0.0
1744275117.322281,joint2,0.5092816352844238,0.0,-0.598525
1744275117.322281,joint3,1.1566215753555298,0.0,-0.3303858010864258
1744275117.322281,joint4,-0.012271846644580364,-0.023980824276804924,0.0
1744275117.322281,joint5,1.2655341625213623,0.0,-0.019152800407409666
1744275117.322281,joint6,0.06749515980482101,0.0,0.0
1744275117.3381796,gripper,-0.006115470329920451,0.0,0.0
1744275117.3381796,joint1,-0.8130098581314087,0.0,0.0
1744275117.3381796,joint2,0.5092816352844238,0.0,-0.6081014086914062
1744275117.3381796,joint3,1.1550875902175903,0.0,-0.32080941955566405
1744275117.3381796,joint4,-0.012271846644580364,0.0,0.0
1744275117.3381796,joint5,1.2655341625213623,0.0,-0.014364599456787109
1744275117.3381796,joint6,0.06749515980482101,0.0,0.0
1744275117.3542197,gripper,-0.006115470329920451,0.0,0.0
1744275117.3542197,joint1,-0.8130098581314087,0.0,0.0
1744275117.3542197,joint2,0.5092816352844238,0.0,-0.598525
1744275117.3542197,joint3,1.1550875902175903,0.0,-0.32559759674072264
1744275117.3542197,joint4,-0.013805827125906944,0.0,0.0
1744275117.3542197,joint5,1.2655341625213623,0.0,-0.014364599456787109
1744275117.3542197,joint6,0.06596117466688156,0.0,0.0
1744275117.3701377,gripper,-0.006115470329920451,0.0,0.0
1744275117.3701377,joint1,-0.8130098581314087,0.0,0.0
1744275117.3701377,joint2,0.5092816352844238,0.0,-0.5889485913085937
1744275117.3701377,joint3,1.1550875902175903,0.0,-0.3303858010864258
1744275117.3701377,joint4,-0.012271846644580364,0.0,0.0
1744275117.3701377,joint5,1.2655341625213623,0.0,-0.019152800407409666
1744275117.3701377,joint6,0.06596117466688156,0.0,0.0
1744275117.3861673,gripper,-0.006115470329920451,0.0,0.0
1744275117.3861673,joint1,-0.8130098581314087,0.0,0.0
1744275117.3861673,joint2,0.5092816352844238,0.0,-0.598525
1744275117.3861673,joint3,1.1550875902175903,0.0,-0.32559759674072264
1744275117.3861673,joint4,-0.012271846644580364,0.0,0.0
1744275117.3861673,joint5,1.2655341625213623,0.0,-0.014364599456787109
1744275117.3861673,joint6,0.06749515980482101,0.0,0.0
1744275117.40224,gripper,-0.006105243762334188,0.0,-0.0047882001018524165
1744275117.40224,joint1,-0.8130098581314087,0.0,0.0
1744275117.40224,joint2,0.5092816352844238,0.0,-0.5937367956542968
1744275117.40224,joint3,1.1550875902175903,0.0,-0.32559759674072264
1744275117.40224,joint4,-0.012271846644580364,0.0,0.0
1744275117.40224,joint5,1.2655341625213623,0.0,-0.014364599456787109
1744275117.40224,joint6,0.06749515980482101,0.0,0.0
1744275117.4180992,gripper,-0.006105243762334188,0.0,0.0
1744275117.4180992,joint1,-0.8130098581314087,0.0,0.0
1744275117.4180992,joint2,0.5092816352844238,0.0,-0.6081014086914062
1744275117.4180992,joint3,1.1550875902175903,0.0,-0.32559759674072264
1744275117.4180992,joint4,-0.012271846644580364,0.0,0.0
1744275117.4180992,joint5,1.2655341625213623,0.0,-0.019152800407409666
1744275117.4180992,joint6,0.06902913749217987,0.0,0.0
1744275117.4348874,gripper,-0.006105243762334188,0.0,0.0
1744275117.4348874,joint1,-0.8130098581314087,0.0,0.0
1744275117.4348874,joint2,0.5092816352844238,0.0,-0.598525
1744275117.4348874,joint3,1.1550875902175903,0.0,-0.3351740054321289
1744275117.4348874,joint4,-0.012271846644580364,0.0,0.0
1744275117.4348874,joint5,1.2655341625213623,0.0,-0.014364599456787109
1744275117.4348874,joint6,0.06902913749217987,0.023980824276804924,0.0
1744275117.4501512,gripper,-0.006105243762334188,0.0,0.0
1744275117.4501512,joint1,-0.8130098581314087,0.0,0.0
1744275117.4501512,joint2,0.5092816352844238,0.0,-0.598525
1744275117.4501512,joint3,1.1550875902175903,0.0,-0.3303858010864258
1744275117.4501512,joint4,-0.012271846644580364,0.0,0.0
1744275117.4501512,joint5,1.2655341625213623,0.0,-0.019152800407409666
1744275117.4501512,joint6,0.06902913749217987,0.023980824276804924,0.0
1744275117.4660668,gripper,-0.006095017194747925,0.0,0.0
1744275117.4660668,joint1,-0.8130098581314087,0.0,0.0
1744275117.4660668,joint2,0.5092816352844238,0.0,-0.5889485913085937
1744275117.4660668,joint3,1.1550875902175903,0.0,-0.3303858010864258
1744275117.4660668,joint4,-0.012271846644580364,0.0,0.0
1744275117.4660668,joint5,1.2655341625213623,0.0,-0.019152800407409666
